model,H,condition,story,l2_norm_median,participation_ratio,evr_at_100
rwkv,8,ctx1,catfishingstrangerstofindmyself,922.617508993337,1.0420067228911087,0.9978087121739618
rwkv,8,ctx1,cautioneating,932.9976154225567,1.0411479155147803,0.998092849642917
rwkv,8,ctx1,christmas1940,920.5609743633679,1.0452515692776683,0.9983481629300968
rwkv,8,ctx1,cocoonoflove,932.0479414825545,1.0572969304669473,0.9962009841139222
rwkv,8,ctx1,comingofageondeathrow,931.3100820045711,1.0553683303492087,0.996643928229049
rwkv,8,ctx1,exorcism,944.6827845488198,1.0651513816091247,0.9954750239603077
rwkv,8,ctx1,eyespy,928.5249811910951,1.05145547915852,0.9965933476709045
rwkv,8,ctx1,firetestforlove,944.6769346189678,1.0556057238679561,0.9968945066034969
rwkv,8,ctx1,food,918.4257598243086,1.0531779239316774,0.9965511299756437
rwkv,8,ctx1,forgettingfear,916.5607003482679,1.0520590402687646,0.997876001728293
rwkv,8,ctx1,fromboyhoodtofatherhood,922.3894590921087,1.0783518554100284,0.9949808642891741
rwkv,8,ctx1,gangstersandcookies,935.4738988416931,1.0719420240668163,0.9966851993383303
rwkv,8,ctx1,goingthelibertyway,935.0026405731135,1.0731400863621783,0.9952749223344071
rwkv,8,ctx1,goldiethegoldfish,918.6902698698648,1.045969177976101,0.9974105123979304
rwkv,8,ctx1,golfclubbing,912.7478008111743,1.0575001242663142,0.9982440563274408
rwkv,8,ctx1,gpsformylostidentity,930.9984870964829,1.0593603578082165,0.9964446632210006
rwkv,8,ctx1,hangtime,928.552431644731,1.0722061812775137,0.9958850157706343
rwkv,8,ctx1,haveyoumethimyet,922.2715841143271,1.0387808391141717,0.9971686693031734
rwkv,8,ctx1,howtodraw,926.5514792591226,1.0591405026163248,0.9963585878098071
rwkv,8,ctx1,ifthishaircouldtalk,937.2871184866099,1.0572397686370711,0.9974792433231717
rwkv,8,ctx1,inamoment,946.8596152716302,1.0447518018095423,0.9989646821946891
rwkv,8,ctx1,itsabox,926.7211368469236,1.0451708535340294,0.9974257352083759
rwkv,8,ctx1,jugglingandjesus,918.9365679276062,1.0299423372705312,0.9994962199904605
rwkv,8,ctx1,kiksuya,943.9541598119685,1.0609939116150136,0.9964977624579692
rwkv,8,ctx1,leavingbaghdad,916.2723217932548,1.0577426321117518,0.9966431600268597
rwkv,8,ctx1,legacy,941.3981563076707,1.0376594932031609,0.9978612001588888
rwkv,8,ctx1,life,939.1882987240195,1.0464045134006152,0.9969681582153732
rwkv,8,ctx1,lifeanddeathontheoregontrail,916.7588852928968,1.0527051957703983,0.9967444815382169
rwkv,8,ctx1,lifereimagined,934.2379270258658,1.0478683511834281,0.9974061063174379
rwkv,8,ctx1,listo,939.1259693352224,1.0642369989057006,0.9960632570606631
rwkv,8,ctx1,mayorofthefreaks,929.9303778822959,1.0468978868776306,0.996433323018144
rwkv,8,ctx1,metsmagic,929.0904262297863,1.0656077156902208,0.9973653254929358
rwkv,8,ctx1,mybackseatviewofagreatromance,913.1660826490725,1.0602490829523137,0.9959626128775607
rwkv,8,ctx1,myfathershands,933.8587608091459,1.0451583542078493,0.9992343175756178
rwkv,8,ctx1,myfirstdaywiththeyankees,921.744626797153,1.0708095032776668,0.9954026944417862
rwkv,8,ctx1,naked,922.0264079275776,1.0512219025605185,0.9963299689861279
rwkv,8,ctx1,notontheusualtour,941.0645661148513,1.0465231676888394,0.9982787109750086
rwkv,8,ctx1,odetostepfather,929.3676770900931,1.051090033121286,0.9967594680123485
rwkv,8,ctx1,onlyonewaytofindout,937.7724184076975,1.0419984179006294,0.9976040104496995
rwkv,8,ctx1,penpal,929.5509664936094,1.071070355594665,0.9967384078727625
rwkv,8,ctx1,quietfire,922.7678944036687,1.0754405944759382,0.9944471308593098
rwkv,8,ctx1,reachingoutbetweenthebars,909.0189646812994,1.0393430370354881,0.9980418210315946
rwkv,8,ctx1,shoppinginchina,937.0075958249305,1.0533517275051132,0.997004581074403
rwkv,8,ctx1,singlewomanseekingmanwich,921.0786725462712,1.0463501256903354,0.9975306365999544
rwkv,8,ctx1,sloth,936.3396528316068,1.0408901369805537,0.9971607994001133
rwkv,8,ctx1,souls,936.79373868425,1.0483687467286853,0.997021138080272
rwkv,8,ctx1,stagefright,944.4478418304644,1.0569272015348437,0.9970595988785633
rwkv,8,ctx1,stumblinginthedark,930.7970415834432,1.057317108907403,0.9956313221856191
rwkv,8,ctx1,superheroesjustforeachother,923.8745233654495,1.0437796876723267,0.9976787918434976
rwkv,8,ctx1,sweetaspie,923.7551703997792,1.0309991282672475,0.9998534803261238
rwkv,8,ctx1,swimmingwithastronauts,919.7472326045572,1.0471164989955275,0.9970338414045338
rwkv,8,ctx1,thatthingonmyarm,921.5781259627827,1.0567917099293123,0.9960823840266667
rwkv,8,ctx1,theadvancedbeginner,929.0283547280169,1.0405877865365356,0.9979481288915254
rwkv,8,ctx1,theclosetthatateeverything,942.5140986865775,1.0526110405473441,0.997107594196272
rwkv,8,ctx1,thecurse,941.1588342873213,1.0386108654212036,0.9975178353666043
rwkv,8,ctx1,thefreedomridersandme,942.7942929818634,1.0617738954992795,0.9965333579093402
rwkv,8,ctx1,theinterview,925.4778061310911,1.0402474179346866,0.9989086178193745
rwkv,8,ctx1,thepostmanalwayscalls,920.6541461446163,1.0486913291525666,0.9966696119299042
rwkv,8,ctx1,theshower,936.2760081300434,1.0590870455223351,0.9964029807776448
rwkv,8,ctx1,thetiniestbouquet,924.6061709450177,1.0331192465928682,0.9994889892799292
rwkv,8,ctx1,thetriangleshirtwaistconnection,922.153562786382,1.0499385135462693,0.9983801311964473
rwkv,8,ctx1,threemonths,932.7482586127769,1.044069177797419,0.9975273337833647
rwkv,8,ctx1,thumbsup,934.3940322294134,1.0800666541152784,0.9942054496571333
rwkv,8,ctx1,tildeath,934.6751554632929,1.0512244266050845,0.9970671079428963
rwkv,8,ctx1,treasureisland,936.4003080382939,1.0458681083594745,0.9971879553426465
rwkv,8,ctx1,undertheinfluence,927.6616443077736,1.0427154333174642,0.9978495512957773
rwkv,8,ctx1,vixenandtheussr,911.915657275918,1.0698803282056257,0.9951257948704473
rwkv,8,ctx1,waitingtogo,934.0866276127032,1.0693334714732499,0.9958911796742981
rwkv,8,ctx1,whenmothersbullyback,931.0590031815425,1.058908326483753,0.9966703867341347
rwkv,8,ctx1,wildwomenanddancingqueens,946.0962464452228,1.056526373401387,0.9985524194868339
rwkv,128,normal,adollshouse,1005.9871239817094,1.0839147056214027,0.9981477685246473
rwkv,128,normal,adventuresinsayingyes,1007.7479871130699,1.1661821886664172,0.9919239699663999
rwkv,128,normal,afatherscover,997.0155322105275,1.1197785525844295,0.9960197288219176
rwkv,128,normal,againstthewind,995.6209303636324,1.0865997749549627,0.9994404265127584
rwkv,128,normal,alternateithicatom,1000.1296960526017,1.1409102638118445,0.9942449534436069
rwkv,128,normal,avatar,994.8694308897632,1.0919832051269507,0.9965312995462338
rwkv,128,normal,backsideofthestorm,999.0225205601347,1.1748394134442846,0.9930566523978934
rwkv,128,normal,becomingindian,1013.8746858517862,1.2068840504951481,0.9912872380639277
rwkv,128,normal,beneaththemushroomcloud,988.9891867193955,1.1755380018680694,0.9925302427473681
rwkv,128,normal,birthofanation,992.0558302725581,1.1650883551828717,0.9949643691437294
rwkv,128,normal,bluehope,993.7892135587861,1.1312478832521051,0.9934341928293932
rwkv,128,normal,breakingupintheageofgoogle,1004.0163093903441,1.1414186022666042,0.9920258664056423
rwkv,128,normal,buck,987.4677487479817,1.106547453721304,0.9962205354438707
