model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,128,ctx1,goingthelibertyway,0.9517281797215104,0.3644225383103809
pythia,128,ctx1,goldiethegoldfish,0.9446781778637396,0.3556602668349094
pythia,128,ctx1,golfclubbing,0.9487121804354527,0.4287252947165774
pythia,128,ctx1,gpsformylostidentity,0.9482078376729355,0.32095484226686793
pythia,128,ctx1,hangtime,0.94934644550239,0.42914999282069105
pythia,128,ctx1,haveyoumethimyet,0.9531446281803415,0.3737403161091195
pythia,128,ctx1,howtodraw,0.9505021004392252,0.39910328460835015
pythia,128,ctx1,ifthishaircouldtalk,0.9551337458313518,0.3883040737758397
pythia,128,ctx1,inamoment,0.9407692955201454,0.39452136244313474
pythia,128,ctx1,itsabox,0.9427569435240789,0.30820286720619866
pythia,128,ctx1,jugglingandjesus,0.9338327267709785,0.3894521711951385
pythia,128,ctx1,kiksuya,0.9415734059760611,0.3544095678440918
pythia,128,ctx1,leavingbaghdad,0.9518816291047203,0.30193774924513467
pythia,128,ctx1,legacy,0.9402392813548301,0.34008446884089066
pythia,128,ctx1,life,0.9467995771180361,0.36333842673990385
pythia,128,ctx1,lifeanddeathontheoregontrail,0.9546718720751651,0.4266649130951065
pythia,128,ctx1,lifereimagined,0.9504026302109327,0.4262970772529117
pythia,128,ctx1,listo,0.9537529589605456,0.38570043005477195
pythia,128,ctx1,mayorofthefreaks,0.9612334692424483,0.40970726288878634
pythia,128,ctx1,metsmagic,0.9513117770453716,0.4004557458642826
pythia,128,ctx1,mybackseatviewofagreatromance,0.940939824450894,0.2443502336032182
pythia,128,ctx1,myfathershands,0.9450887891362023,0.3443411329616583
pythia,128,ctx1,myfirstdaywiththeyankees,0.958819776398721,0.3527987005364224
pythia,128,ctx1,naked,0.958490295511478,0.38312602403933016
pythia,128,ctx1,notontheusualtour,0.9504798929683981,0.44797702159393665
pythia,128,ctx1,odetostepfather,0.9523378196265208,0.359502153475549
pythia,128,ctx1,onlyonewaytofindout,0.9440184660022659,0.31938942988650054
pythia,128,ctx1,penpal,0.9532904069178618,0.41313414886549005
pythia,128,ctx1,quietfire,0.9408371926730897,0.4501338345929877
pythia,128,ctx1,reachingoutbetweenthebars,0.9444051742407725,0.36654158845864826
pythia,128,ctx1,shoppinginchina,0.9492335473718327,0.3903680317276592
pythia,128,ctx1,singlewomanseekingmanwich,0.9467852376246604,0.30492169172131617
pythia,128,ctx1,sloth,0.9484601524245533,0.38804810820743696
pythia,128,ctx1,souls,0.944598486886279,0.39588737514144756
pythia,128,ctx1,stagefright,0.9552244239578022,0.39845654432599414
pythia,128,ctx1,stumblinginthedark,0.9490528671400296,0.4082421026573925
pythia,128,ctx1,superheroesjustforeachother,0.941252930804434,0.2722779523017602
pythia,128,ctx1,sweetaspie,0.9221616483879904,0.3842509380953119
pythia,128,ctx1,swimmingwithastronauts,0.9512692043254906,0.37917540289428203
pythia,128,ctx1,thatthingonmyarm,0.9417854706712788,0.3999600704537342
pythia,128,ctx1,theadvancedbeginner,0.9358094583603359,0.3879999774992271
pythia,128,ctx1,theclosetthatateeverything,0.9558158292945259,0.3785960343961669
pythia,128,ctx1,thecurse,0.9355693578240702,0.3630149634590231
pythia,128,ctx1,thefreedomridersandme,0.9469467827246504,0.4482705373504266
pythia,128,ctx1,theinterview,0.9477169080450966,0.4105771132395444
pythia,128,ctx1,thepostmanalwayscalls,0.9401558228876133,0.361300915761024
pythia,128,ctx1,theshower,0.9292238615661381,0.3539040736369364
