story,H,n_words,n_targets,origin_inclusion_rate,origin_inclusion_expected,form_repetition_rate
reachingoutbetweenthebars,128,1490,1362,0.09324522760646109,0.08590604026845637,0.45374449339207046
shoppinginchina,8,1731,1603,0.004990642545227698,0.00462160600808781,0.08484092326887087
shoppinginchina,32,1731,1603,0.018091079226450407,0.01848642403235124,0.25389893948845915
shoppinginchina,128,1731,1603,0.06986899563318777,0.07394569612940496,0.48346849656893326
singlewomanseekingmanwich,8,1486,1358,0.008100147275405008,0.005383580080753701,0.07363770250368189
singlewomanseekingmanwich,32,1486,1358,0.023564064801178203,0.021534320323014805,0.21649484536082475
singlewomanseekingmanwich,128,1486,1358,0.08321060382916053,0.08613728129205922,0.4565537555228277
sloth,8,2403,2275,0.003076923076923077,0.0033291718684977114,0.08175824175824176
sloth,32,2403,2275,0.011868131868131869,0.013316687473990845,0.24571428571428572
sloth,128,2403,2275,0.04351648351648352,0.05326674989596338,0.47296703296703296
souls,8,1868,1740,0.005172413793103448,0.004282655246252677,0.09540229885057472
souls,32,1868,1740,0.017816091954022988,0.017130620985010708,0.25287356321839083
souls,128,1868,1740,0.06839080459770115,0.06852248394004283,0.49885057471264366
stagefright,8,2067,1939,0.005673027333677153,0.0038703434929850023,0.08303249097472924
stagefright,32,2067,1939,0.01701908200103146,0.015481373971940009,0.26147498710675604
stagefright,128,2067,1939,0.05724600309437854,0.061925495887760036,0.4987106756059825
stumblinginthedark,8,2681,2553,0.004308656482569526,0.0029839612085042896,0.08264786525656091
stumblinginthedark,32,2681,2553,0.012142577359968664,0.011935844834017158,0.23697610654132392
stumblinginthedark,128,2681,2553,0.052878965922444184,0.047743379336068634,0.5033294163728946
superheroesjustforeachother,8,1440,1312,0.008384146341463415,0.005555555555555556,0.06935975609756098
superheroesjustforeachother,32,1440,1312,0.025152439024390245,0.022222222222222223,0.21875
superheroesjustforeachother,128,1440,1312,0.08765243902439024,0.08888888888888889,0.46875
sweetaspie,8,697,569,0.0210896309314587,0.011477761836441894,0.0843585237258348
